"SAMPLE_ID","STATION_ID","DEPTH","DATE","CELL","NGVD29","COLLECT_METHOD","MATRIX","Position","ALKALINITY, TOT, CACO3","AMMONIA-N","CALCIUM","CARBON, DISSOLVED ORGANIC","CHLORIDE","CHLOROPHYLL-A(LC)","CHLOROPHYLL-B (LC)","DEPTH, TOTAL","DISSOLVED OXYGEN","HARDNESS AS CACO3","MAGNESIUM","NITRATE+NITRITE-N","NO BOTTLE SAMPLE","PH, FIELD","PHEOPHYTIN-A(LC)","PHOSPHATE, DISSOLVED AS P","PHOSPHATE, ORTHO AS P","PHOSPHATE, TOTAL AS P","POTASSIUM","SODIUM","SP CONDUCTIVITY, FIELD","SULFATE","TEMP","TOTAL NITROGEN","TOTAL SUSPENDED SOLIDS","TURBIDITY","VOLATILE SUSPENDED SOLIDS","Name","PHOSPHATE, PARTICULATE AS P","PHOSPHATE,DISSOLVED ORGANIC AS P","NA:CL","K:CL","CA:CL","SO4:CL","MG:CL","CA+MG","NA+K","CL+SO4","BICARBONATE","Ionic Strength","Cation Total meq","Anion Total meq","Cation/Anion"
"P102839-4","L8CELL12",8.3,2019-02-27,"L8CELL12",-37.680972,"G","SW","Bottom",246,0.155,105,16.8,283,NA,NA,8.7,0.07,358.7,23.4,0.514,NA,7.6,NA,0.028,0.024,0.65,8.7,194.3,1753,161,19.1,1.89,44,NA,NA,"L8CELL12",0.622,0.004,0.686572438162544,0.0307420494699647,0.371024734982332,0.568904593639576,0.0826855123674912,128.4,203,444,491.999999602778,25.85675,15.8476218206579,16.2531791619617,0.975
"P102839-5","L8CELL3",0.5,2019-02-27,"L8CELL3",-12.09042,"G","SW","Top",221,0.019,96.9,18.8,237,NA,NA,9.2,8.79,332.6,22,0.797,NA,10,NA,0.008,0.002,0.056,8.5,156.2,1504,146,24.1,2.55,9,NA,NA,"L8CELL3",0.048,0.006,0.659071729957806,0.0358649789029536,0.408860759493671,0.616033755274262,0.0928270042194093,118.9,164.7,383,441.999935897436,22.184,13.6582825873502,14.1434720158001,0.966
"P102839-6","L8CELL3",6.5,2019-02-27,"L8CELL3",-31.77546,"G","SW","Mid",228,0.032,101.4,18.1,235,NA,NA,9.2,1.04,347.4,22.9,1.171,NA,7.8,NA,0.01,0.004,0.094,8.6,172.2,1617,140,21,2.53,8,NA,NA,"L8CELL3",0.084,0.006,0.732765957446809,0.0365957446808511,0.431489361702128,0.595744680851064,0.0974468085106383,124.3,180.8,375,455.999999371264,23.85075,14.6561403308785,14.1020766249717,1.039
"P102839-7","L8CELL3",8.9,2019-02-27,"L8CELL3",-39.649476,"G","SW","Bottom",242,0.158,104.4,17.6,269,NA,NA,9.2,0.05,357.3,23.4,0.646,NA,7.6,NA,0.027,0.02,0.675,8.6,189.9,1721,154,19.3,2.2,65,NA,NA,"L8CELL3",0.648,0.007,0.705947955390335,0.0319702602230483,0.388104089219331,0.572490706319703,0.0869888475836431,127.8,198.5,423,483.999999602778,25.38475,15.6238945774881,15.6325464787842,0.999
"P102839-8","L8CELL4",0.5,2019-02-27,"L8CELL4",-12.09042,"G","SW","Top",225,0.026,99,20.9,210,NA,NA,NA,9.39,337.9,22,1.614,NA,8.7,NA,0.012,0.003,0.078,8.6,141.9,1428,138,23.9,3.33,8,NA,NA,"L8CELL4",0.066,0.009,0.675714285714286,0.0409523809523809,0.471428571428571,0.657142857142857,0.104761904761905,121,150.5,348,449.999995124953,21.063,13.1439819731744,13.2952413563382,0.989
"P102839-9","L8CELL4",4.2,2019-02-27,"L8CELL4",-24.229528,"G","SW","Mid",224,0.025,100.3,20,213,NA,NA,8.7,8.12,341.6,22.1,1.553,NA,8.6,NA,0.008,0.002,0.069,8.6,144.9,1434,138,23.6,3.24,7,NA,NA,"L8CELL4",0.061,0.006,0.680281690140845,0.0403755868544601,0.470892018779343,0.647887323943662,0.103755868544601,122.4,153.5,351,447.999996105747,21.1515,13.3475210585709,13.3598755872721,0.999
"P102840-10","L8CELL4",7.6,2019-03-26,"L8CELL4",-36.964384,"G","SW","Bottom",225,0.158,100.9,19.5,256,NA,NA,8.1,2,350.1,23.8,0.608,NA,8,NA,0.007,0.002,0.162,9,174.4,1619,153,22,2.42,15,NA,NA,"L8CELL4",0.155,0.005,0.68125,0.03515625,0.394140625,0.59765625,0.09296875,124.7,183.4,409,449.999999005569,23.88025,14.8181468221792,14.9051484225318,0.994
"P102840-11","L8CELL5",0.5,2019-03-26,"L8CELL5",-13.67042,"G","SW","Top",216,0.021,99.6,19.4,250,NA,NA,8.1,12.8,346.2,23.7,0.414,NA,8.8,NA,0.007,0.002,0.056,9,172.3,1569,154,24.1,2.26,12,NA,NA,"L8CELL5",0.049,0.005,0.6892,0.036,0.3984,0.616,0.0948,123.3,181.3,404,431.999993905758,23.14275,14.6461068036073,14.5767882461111,1.005
"P102840-12","L8CELL5",4.5,2019-03-26,"L8CELL5",-26.79378,"G","SW","Mid",219,0.064,100,19,241,NA,NA,8.1,5.13,347,23.7,0.598,NA,8.2,NA,0.007,0.002,0.074,9,169.1,1562,145,22.1,2.35,8,NA,NA,"L8CELL5",0.067,0.005,0.701659751037344,0.037344398340249,0.4149377593361,0.601659751037344,0.0983402489626556,123.7,178.1,386,437.99999842905,23.0395,14.5292536003365,14.1955026676131,1.024
"P102840-13","L8CELL5",7.5,2019-03-26,"L8CELL5",-36.6363,"G","SW","Bottom",224,0.168,102.8,19.5,251,NA,NA,8.1,2.05,355.6,24,0.561,NA,8,NA,0.008,0.002,0.169,9.2,174.6,1590,151,21.9,2.45,16,NA,NA,"L8CELL5",0.161,0.006,0.695617529880478,0.0366533864541833,0.409561752988048,0.601593625498008,0.0956175298804781,126.8,183.8,402,447.999999005569,23.4525,14.9437805924442,14.7024720545129,1.016
"P102840-14","L8CELL6",0.5,2019-03-26,"L8CELL6",-13.67042,"G","SW","Top",221,0.017,105.1,19.3,264,NA,NA,NA,10.9,366.6,25.3,0.534,NA,8.7,NA,0.008,0.002,0.058,9.2,188.4,1675,168,23.1,2.54,8,NA,NA,"L8CELL6",0.05,0.006,0.713636363636364,0.0348484848484848,0.398106060606061,0.636363636363636,0.0958333333333333,130.4,197.6,432,441.999995124953,24.70625,15.7574192647523,15.3631551769179,1.026
"P102840-15","L8CELL6",4,2019-03-26,"L8CELL6",-25.15336,"G","SW","Mid",224,0.042,104.4,19.8,269,NA,NA,NA,6.75,363.3,24.9,0.631,NA,8.4,NA,0.007,0.002,0.066,9.1,185.2,1668,169,22.6,2.59,10,NA,NA,"L8CELL6",0.059,0.005,0.688475836431227,0.0338289962825279,0.388104089219331,0.628252788104089,0.0925650557620818,129.3,194.3,438,447.999997522957,24.603,15.5492121909436,15.5849952307013,0.998
"P102840-15","L8CELL6",4,2019-03-26,"L8CELL6",-25.15336,"G","SW","Bottom",NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L8CELL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P102840-16","L8CELL6",7.2,2019-03-26,"L8CELL6",-35.652048,"G","SW","Bottom",240,0.389,107,20,340,NA,NA,NA,2.79,383.7,28.3,0.485,NA,8,NA,0.009,0.002,0.083,9.8,234.8,2006,186,22.5,2.71,9,NA,NA,"L8CELL6",0.074,0.007,0.690588235294118,0.0288235294117647,0.314705882352941,0.547058823529412,0.0832352941176471,135.3,244.6,526,479.999999005569,29.5885,18.1533655150846,18.2616336071119,0.994
"P102840-17","L8CELL7",0.5,2019-03-26,"L8CELL7",-13.67042,"G","SW","Top",220,0.017,102.5,19.7,263,NA,NA,NA,11.5,355.3,24.2,0.521,NA,8.7,NA,0.007,0.002,0.064,8.8,179.8,1632,163,23.5,2.46,11,NA,NA,"L8CELL7",0.057,0.005,0.683650190114068,0.0334600760456274,0.389733840304183,0.619771863117871,0.0920152091254753,126.7,188.6,426,439.999995124953,24.072,15.1528588721826,15.2108528258436,0.996
"P102840-18","L8CELL7",4,2019-03-26,"L8CELL7",-25.15336,"G","SW","Mid",222,0.034,102.9,19.6,265,NA,NA,NA,7.34,357,24.3,0.639,NA,8.5,NA,0.007,0.002,0.075,9,178.3,1635,165,22.5,2.45,10,NA,NA,"L8CELL7",0.068,0.005,0.672830188679245,0.0339622641509434,0.388301886792453,0.622641509433962,0.0916981132075472,127.2,187.3,430,443.999996892748,24.11625,15.1218549140047,15.3488949629287,0.985
"P102840-18","L8CELL7",4,2019-03-26,"L8CELL7",-25.15336,"G","SW","Bottom",NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L8CELL7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P102840-19","L8CELL7",7.4,2019-03-26,"L8CELL7",-36.308216,"G","SW","Bottom",226,0.143,100.7,19.8,245,NA,NA,NA,3.56,351.2,24.2,0.634,NA,8.1,NA,0.008,0.002,0.188,9,178,1744,149,22.3,2.58,17,NA,NA,"L8CELL7",0.18,0.006,0.726530612244898,0.036734693877551,0.411020408163265,0.608163265306122,0.0987755102040816,124.9,187,394,451.999998749888,25.724,14.9968401519525,14.5315629513793,1.032
"P102840-2","L8CELL12",0.5,2019-03-26,"L8CELL12",-13.67042,"G","SW","Top",213,0.018,94.3,19.1,243,NA,NA,8.2,12.8,328.7,22.6,0.315,NA,8.8,NA,0.006,0.002,0.056,8.7,161.4,1527,148,23.9,2.25,11,NA,NA,"L8CELL12",0.05,0.004,0.664197530864198,0.0358024691358025,0.388065843621399,0.609053497942387,0.0930041152263375,116.9,170.1,391,425.999993905758,22.52325,13.809159261565,14.1944290997413,0.973
"P102840-20","L8FEBIN",0.5,2019-03-26,"L8FEBIN",-13.67042,"G","SW","Top",221,0.019,102.5,20.2,265,NA,NA,NA,10.7,358.9,25,0.54,NA,8.6,NA,0.007,0.002,0.058,9.1,183.3,1677,168,23.1,2.53,10,NA,NA,"L8FEBIN",0.051,0.005,0.691698113207547,0.0343396226415094,0.386792452830189,0.633962264150943,0.0943396226415094,127.5,192.4,433,441.999996105747,24.73575,15.3787056404447,15.3913639216288,0.999
"P102840-21","L8FEBOUT",0.5,2019-03-26,"L8FEBOUT",-13.67042,"G","SW","Top",206,0.015,93.9,18.8,220,NA,NA,9.2,12,327.8,22.7,0.22,NA,8.8,NA,0.006,0.002,0.056,8.8,163.2,1490,134,23.3,2.12,11,NA,NA,"L8FEBOUT",0.05,0.004,0.741818181818182,0.04,0.426818181818182,0.609090909090909,0.103181818181818,116.6,172,354,411.999993905758,21.9775,13.8781158037822,13.1141994601394,1.058
"P102840-3","L8CELL12",4.1,2019-03-26,"L8CELL12",-25.481444,"G","SW","Mid",213,0.018,95.3,19,242,NA,NA,8.2,8.21,330.8,22.5,0.377,NA,8.5,NA,0.005,0.002,0.06,8.7,162,1516,146,22.3,2.23,10,NA,NA,"L8CELL12",0.055,0.003,0.669421487603306,0.0359504132231405,0.393801652892562,0.603305785123967,0.0929752066115702,117.8,170.7,388,425.999996892748,22.361,13.8769318329772,14.1245797137646,0.982
"P102840-4","L8CELL12",7.6,2019-03-26,"L8CELL12",-36.964384,"G","SW","Bottom",223,0.288,96.8,18.8,246,NA,NA,8.2,4,335.2,22.7,0.376,NA,8.1,NA,0.006,0.002,0.102,8.8,164.3,1551,145,21.9,2.28,9,NA,NA,"L8CELL12",0.096,0.004,0.667886178861789,0.0357723577235772,0.39349593495935,0.589430894308943,0.0922764227642276,119.5,173.1,391,445.999998749888,22.87725,14.0858092304723,14.4165144039623,0.977
"P102840-5","L8CELL3",0.5,2019-03-26,"L8CELL3",-13.67042,"G","SW","Top",207,0.016,92.7,18.7,239,NA,NA,8.8,11.7,323.5,22.4,0.241,NA,8.2,NA,0.005,0.002,0.05,8.6,160.9,1499,145,23.4,2.13,12,NA,NA,"L8CELL3",0.045,0.003,0.673221757322176,0.0359832635983264,0.387866108786611,0.606694560669456,0.0937238493723849,115.1,169.5,384,413.99999842905,22.11025,13.6884468600695,13.8991811398067,0.985
"P102840-6","L8CELL3",4.5,2019-03-26,"L8CELL3",-26.79378,"G","SW","Mid",210,0.048,93.5,18.6,238,NA,NA,8.8,7.18,325.4,22.3,0.35,NA,8.5,NA,0.005,0.002,0.058,8.6,160.7,1512,144,22.3,2.16,9,NA,NA,"L8CELL3",0.053,0.003,0.675210084033613,0.0361344537815126,0.392857142857143,0.605042016806723,0.0936974789915966,115.8,169.3,382,419.999996892748,22.302,13.7132140739991,13.9101280840591,0.986
"P102840-7","L8CELL3",8.4,2019-03-26,"L8CELL3",-39.589056,"G","SW","Bottom",234,0.75,97.2,18.9,250,NA,NA,8.8,0.07,335.8,22.6,0.052,NA,7.8,NA,0.008,0.002,0.104,8.8,167.5,1590,138,21.7,2.37,9,NA,NA,"L8CELL3",0.096,0.006,0.67,0.0352,0.3888,0.552,0.0904,119.8,176.3,388,467.999999371264,23.4525,14.2623504263122,14.6035191735611,0.977
"P102840-8","L8CELL4",0.5,2019-03-26,"L8CELL4",-13.67042,"G","SW","Top",221,0.017,99.5,19.5,258,NA,NA,8.1,11.7,346.4,23.8,0.512,NA,8.7,NA,0.006,0.002,0.066,8.9,173.6,1619,161,23.6,2.38,11,NA,NA,"L8CELL4",0.06,0.004,0.672868217054264,0.0344961240310078,0.385658914728682,0.624031007751938,0.0922480620155039,123.3,182.5,419,441.999995124953,23.88025,14.7031133483602,15.0481604642222,0.977
"P102840-9","L8CELL4",6,2019-03-26,"L8CELL4",-31.71504,"G","SW","Mid",222,0.099,99.6,19.3,256,NA,NA,8.1,3.86,345.9,23.6,0.649,NA,8.2,NA,0.007,0.002,0.096,9,170.9,1602,156,22,2.39,10,NA,NA,"L8CELL4",0.089,0.005,0.667578125,0.03515625,0.3890625,0.609375,0.0921875,123.2,179.9,412,443.99999842905,23.6295,14.5813050106216,14.9076333748345,0.978
"P102841-10","L8CELL4",8,2019-04-15,"L8CELL4",-37.44672,"G","SW","Bottom",225,0.791,107.4,18.9,295,NA,NA,8.5,0.04,379.1,26.9,-0.005,NA,7.8,NA,0.008,0.002,0.082,9.8,199.9,1782,165,23.3,2.37,6,NA,NA,"L8CELL4",0.074,0.006,0.677627118644068,0.0332203389830509,0.36406779661017,0.559322033898305,0.0911864406779661,134.3,209.7,460,449.999999371264,26.2845,16.5623143448002,16.2551333138506,1.019
"P102841-11","L8CELL5",0.5,2019-04-15,"L8CELL5",-12.84042,"G","SW","Top",190,0.019,92.3,17.6,258,NA,NA,NA,8.51,327.4,23.6,-0.005,NA,8.7,NA,0.005,0.002,0.035,8.8,172.2,1495,158,26.7,1.82,8,NA,NA,"L8CELL5",0.03,0.003,0.667441860465116,0.0341085271317829,0.357751937984496,0.612403100775194,0.0914728682170543,115.9,181,416,379.999995124953,22.05125,14.2640324125889,14.365947403163,0.993
"P102841-11","L8CELL5",0.5,2019-04-15,"L8CELL5",-12.84042,"G","SW","Mid",NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L8CELL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P102841-12","L8CELL5",4.2,2019-04-15,"L8CELL5",-24.979528,"G","SW","Mid",192,0.05,93.7,17.7,255,NA,NA,NA,5.77,331.2,23.6,0.02,NA,8.5,NA,0.006,0.002,0.037,8.9,174.3,1512,156,26,1.8,8,NA,NA,"L8CELL5",0.031,0.004,0.683529411764706,0.0349019607843137,0.367450980392157,0.611764705882353,0.0925490196078431,117.3,183.2,411,383.999996892748,22.302,14.4295167716125,14.279664534162,1.01
"P102841-12","L8CELL5",4.2,2019-04-15,"L8CELL5",-24.979528,"G","SW","Bottom",NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L8CELL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P102841-13","L8CELL5",7,2019-04-15,"L8CELL5",-34.16588,"G","SW","Bottom",226,1.06,99.8,19.2,256,NA,NA,NA,0.04,347.5,23.8,-0.005,NA,7.8,NA,0.007,0.002,0.075,9,172.1,1550,142,22.8,2.61,6,NA,NA,"L8CELL5",0.068,0.005,0.672265625,0.03515625,0.38984375,0.5546875,0.09296875,123.6,181.1,398,451.999999371264,22.8625,14.7132115254194,14.6961168987682,1.001
"P102841-14","L8CELL6",0.5,2019-04-15,"L8CELL6",-12.84042,"G","SW","Top",204,0.032,101.8,18.7,278,NA,NA,8,7.96,358.8,25.4,0.094,NA,8.6,NA,0.006,0.002,0.043,8.8,189.7,1624,175,25.7,1.83,8,NA,NA,"L8CELL6",0.037,0.004,0.682374100719424,0.0316546762589928,0.366187050359712,0.629496402877698,0.0913669064748201,127.2,198.5,453,407.999996105747,23.954,15.6481258099746,15.5639557929223,1.005
"P102841-15","L8CELL6",4,2019-04-15,"L8CELL6",-24.32336,"G","SW","Mid",205,0.044,102.1,18.2,279,NA,NA,8,7.66,359.3,25.3,0.098,NA,8.6,NA,0.006,0.002,0.046,9.1,190.5,1626,176,25.6,1.81,8,NA,NA,"L8CELL6",0.04,0.004,0.682795698924731,0.0326164874551971,0.36594982078853,0.630824372759857,0.0906810035842294,127.4,199.6,455,409.999996105747,23.9835,15.6980059142366,15.6329768614648,1.004
"P102841-16","L8CELL6",7.5,2019-04-15,"L8CELL6",-35.8063,"G","SW","Bottom",284,2.502,121.1,20.5,670,NA,NA,8,0.08,479.6,43,0.009,NA,7.6,NA,0.164,0.153,0.233,13.1,461.3,2312,266,23.6,4.08,6,NA,NA,"L8CELL6",0.069,0.011,0.688507462686567,0.0195522388059701,0.180746268656716,0.397014925373134,0.0641791044776119,164.1,474.4,936,567.999999602778,34.102,30.1204094294854,30.1157931530745,1
"P102841-17","L8CELL7",0.5,2019-04-15,"L8CELL7",-12.84042,"G","SW","Top",198,0.03,97.9,18.2,266,NA,NA,8,8.41,345.9,24.6,0.031,NA,8.7,NA,0.006,0.002,0.049,9,183.5,1576,165,26,1.73,8,NA,NA,"L8CELL7",0.043,0.004,0.68984962406015,0.0338345864661654,0.368045112781955,0.620300751879699,0.0924812030075188,122.5,192.5,431,395.999995124953,23.246,15.1230085121753,14.8972956308702,1.015
"P102841-18","L8CELL7",4,2019-04-15,"L8CELL7",-24.32336,"G","SW","Mid",198,0.023,97.3,19.3,269,NA,NA,8,8.11,344.2,24.6,0.033,NA,8.7,NA,0.007,0.002,0.05,9,183.8,1579,168,25.9,1.75,10,NA,NA,"L8CELL7",0.043,0.005,0.683271375464684,0.033457249070632,0.361710037174721,0.62453531598513,0.0914498141263941,121.9,192.8,437,395.999995124953,23.29025,15.1057300637279,15.0443828269016,1.004
"P102841-19","L8CELL7",7.5,2019-04-15,"L8CELL7",-35.8063,"G","SW","Bottom",223,0.598,106,20.1,308,NA,NA,8,0.09,375.4,26.9,0.018,NA,7.9,NA,0.007,0.002,0.089,9.6,207.5,1809,175,23.6,2.14,9,NA,NA,"L8CELL7",0.082,0.005,0.673701298701299,0.0311688311688312,0.344155844155844,0.568181818181818,0.0873376623376623,132.9,217.1,483,445.999999209189,26.68275,16.807232827131,16.7900661950238,1.001
"P102841-2","L8CELL12",0.5,2019-04-15,"L8CELL12",-12.84042,"G","SW","Top",186,0.016,96.6,16.8,243,NA,NA,9,8.83,343,24.7,-0.005,NA,8.8,NA,0.006,0.002,0.04,9.2,176,1443,148,26.6,1.66,10,NA,NA,"L8CELL12",0.034,0.004,0.724279835390947,0.0378600823045267,0.397530864197531,0.609053497942387,0.101646090534979,121.3,185.2,391,371.999993905758,21.28425,14.7444613272472,13.6546450133759,1.08
"P102841-20","L8FEBIN",0.5,2019-04-15,"L8FEBIN",-12.84042,"G","SW","Top",202,0.032,100.6,19.4,277,NA,NA,5.5,8.14,353.8,24.9,0.076,NA,8.6,NA,0.006,0.002,0.052,8.9,188,1609,173,25.8,1.82,9,NA,NA,"L8FEBIN",0.046,0.004,0.67870036101083,0.032129963898917,0.363176895306859,0.624548736462094,0.0898916967509025,125.5,196.9,450,403.999996105747,23.73275,15.4757193698486,15.4541224005481,1.001
"P102841-21","L8FEBOUT",0.5,2019-04-15,"L8FEBOUT",-12.84042,"G","SW","Top",189,0.016,95.5,18.6,247,NA,NA,8.9,9.48,337.2,24,-0.005,NA,8.8,NA,0.005,0.002,0.036,9,172,1432,150,27,1.67,11,NA,NA,"L8FEBOUT",0.031,0.003,0.696356275303644,0.0364372469635627,0.38663967611336,0.607287449392713,0.097165991902834,119.5,181,397,377.999993905758,21.122,14.4528702897377,13.8690966430813,1.042
"P102841-3","L8CELL12",4.5,2019-04-15,"L8CELL12",-25.96378,"G","SW","Mid",188,0.022,89.6,17.1,241,NA,NA,9,7.96,317.4,22.7,-0.005,NA,8.7,NA,0.005,0.002,0.044,8.7,163.4,1439,147,26.2,1.76,10,NA,NA,"L8CELL12",0.039,0.003,0.678008298755187,0.0360995850622407,0.371784232365145,0.609958506224066,0.0941908713692946,112.3,172.1,388,375.999995124953,21.22525,13.6700752618137,13.6173912097187,1.004
"P102841-4","L8CELL12",8.5,2019-04-15,"L8CELL12",-39.08714,"G","SW","Bottom",216,0.796,100.7,17.9,245,NA,NA,9,0.04,349.4,23.8,0.005,NA,7.8,NA,0.007,0.002,0.06,9.1,169.4,1496,139,22.5,2.26,6,NA,NA,"L8CELL12",0.053,0.005,0.691428571428572,0.0371428571428571,0.411020408163265,0.56734693877551,0.0971428571428571,124.5,178.5,384,431.999999371264,22.066,14.6285968173459,14.1234397130628,1.036
"P102841-5","L8CELL3",0.5,2019-04-15,"L8CELL3",-12.84042,"G","SW","Top",188,0.016,90.3,17.3,260,NA,NA,9,8.94,320,22.9,-0.005,NA,8.7,NA,0.006,0.002,0.036,8.6,162.9,1435,158,26.4,1.74,10,NA,NA,"L8CELL3",0.03,0.004,0.626538461538462,0.0330769230769231,0.347307692307692,0.607692307692308,0.0880769230769231,113.2,171.5,418,375.999995124953,21.16625,13.6968198458208,14.3823808861873,0.952
"P102841-6","L8CELL3",4.5,2019-04-15,"L8CELL3",-25.96378,"G","SW","Mid",188,0.017,90.8,17.3,240,NA,NA,9,8.46,320.2,22.6,-0.005,NA,8.7,NA,0.006,0.002,0.042,8.7,162.9,1433,146,25.8,1.71,11,NA,NA,"L8CELL3",0.036,0.004,0.67875,0.03625,0.378333333333333,0.608333333333333,0.0941666666666667,113.4,171.6,386,375.999995124953,21.13675,13.6997017246719,13.5683621443749,1.01
"P102841-7","L8CELL3",8.5,2019-04-15,"L8CELL3",-39.08714,"G","SW","Bottom",214,0.9,96.6,18.1,242,NA,NA,9,0.04,335.4,22.9,0.007,NA,7.9,NA,0.007,0.002,0.063,8.7,163,1482,136,22.6,2.4,5,NA,NA,"L8CELL3",0.056,0.005,0.673553719008264,0.0359504132231405,0.399173553719008,0.56198347107438,0.0946280991735537,119.5,171.7,378,427.999999209189,21.8595,14.0671034882945,13.9363685106339,1.009
"P102841-8","L8CELL4",0.5,2019-04-15,"L8CELL4",-12.84042,"G","SW","Top",192,0.019,99,17.9,258,NA,NA,8.5,8.6,348.8,24.7,0.005,NA,8.7,NA,0.006,0.002,0.058,9.2,185.3,1539,160,26.3,1.77,9,NA,NA,"L8CELL4",0.052,0.004,0.718217054263566,0.0356589147286822,0.383720930232558,0.62015503875969,0.0957364341085271,123.7,194.5,418,383.999995124953,22.70025,15.2689294149874,14.4475720508264,1.057
"P102841-9","L8CELL4",4.25,2019-04-15,"L8CELL4",-25.14357,"G","SW","Mid",200,0.098,98.5,17.9,267,NA,NA,8.5,5.1,347.8,24.7,0.054,NA,8.4,NA,0.006,0.002,0.044,9.1,183.8,1580,165,25.6,1.85,7,NA,NA,"L8CELL4",0.038,0.004,0.688389513108614,0.0340823970037453,0.368913857677903,0.617977528089888,0.0925093632958802,123.2,192.9,432,399.999997522957,23.305,15.1805525734633,14.9654883819785,1.014
"P104305-10","L8CELL4",8.6,2019-05-22,"L8CELL4",-37.395224,"G","SW","Bottom",250,1.439,102.5,19.3,312,NA,NA,9.1,0.09,368.2,27.2,-0.005,NA,7.4,NA,0.064,0.057,0.101,9.6,235.3,2051,162,25.6,2.98,5,NA,NA,"L8CELL4",0.037,0.007,0.754166666666667,0.0307692307692308,0.328525641025641,0.519230769230769,0.0871794871794872,129.7,244.9,474,499.999999749164,30.25225,17.9131585398904,17.1720210920045,1.043
"P104305-11","L8CELL5",0.5,2019-05-22,"L8CELL5",-10.82042,"G","SW","Top",202,0.016,95.5,18.5,243,NA,NA,9,9.24,338.1,24.2,-0.005,NA,8.6,NA,0.006,0.002,0.032,8.8,181.7,1522,146,28.8,1.49,11,NA,NA,"L8CELL5",0.026,0.004,0.747736625514403,0.0362139917695473,0.393004115226337,0.60082304526749,0.0995884773662551,119.7,190.5,389,403.999996105747,22.4495,14.8861502625948,13.9328764232895,1.068
"P104305-12","L8CELL5",4.5,2019-05-22,"L8CELL5",-23.94378,"G","SW","Mid",210,0.013,98.6,18.1,234,NA,NA,9,1.79,347.6,24.6,-0.005,NA,8.1,NA,0.005,0.002,0.033,9,187,1592,138,27.4,1.56,9,NA,NA,"L8CELL5",0.028,0.003,0.799145299145299,0.0384615384615385,0.421367521367521,0.58974358974359,0.105128205128205,123.2,196,372,419.999998749888,23.482,15.309242976019,13.672371181418,1.12
"P104305-13","L8CELL5",8.5,2019-05-22,"L8CELL5",-37.06714,"G","SW","Bottom",236,1.221,98.2,19.1,264,NA,NA,9,0.07,345.2,24.3,-0.005,NA,7.5,NA,0.024,0.016,0.062,9,186.3,1648,145,25.4,2.61,6,NA,NA,"L8CELL5",0.038,0.008,0.705681818181818,0.0340909090909091,0.371969696969697,0.549242424242424,0.0920454545454545,122.5,195.3,409,471.999999684331,24.308,15.3011183677598,15.1841678503412,1.008
"P104305-14","L8CELL6",0.5,2019-05-22,"L8CELL6",-10.82042,"G","SW","Top",206,0.015,100.3,18.6,263,NA,NA,8.6,8.77,354.8,25.4,-0.005,NA,8.5,NA,0.005,0.002,0.025,9,195.7,1633,163,28.1,1.49,10,NA,NA,"L8CELL6",0.02,0.003,0.744106463878327,0.0342205323193916,0.381368821292776,0.619771863117871,0.0965779467680608,125.7,204.7,426,411.999996892748,24.08675,15.838442586136,14.9309647810616,1.061
"P104305-15","L8CELL6",4.4,2019-05-22,"L8CELL6",-23.615696,"G","SW","Mid",211,0.029,99.9,18.8,268,NA,NA,8.6,4.64,353.1,25.2,0.007,NA,8.2,NA,0.004,0.002,0.03,8.8,194.2,1668,168,27.7,1.49,8,NA,NA,"L8CELL6",0.026,0.002,0.724626865671642,0.0328358208955224,0.372761194029851,0.626865671641791,0.0940298507462687,125.1,203,436,421.99999842905,24.603,15.7324407817611,15.2760701237741,1.03
"P104305-16","L8CELL6",8,2019-05-22,"L8CELL6",-35.42672,"G","SW","Bottom",274,1.788,114.4,19.8,464,NA,NA,8.6,0.07,429.6,34.9,-0.005,NA,7.3,NA,0.096,0.088,0.144,11.4,337,2624,213,25.9,3.28,6,NA,NA,"L8CELL6",0.048,0.00800000000000001,0.726293103448276,0.0245689655172414,0.246551724137931,0.459051724137931,0.0752155172413793,149.3,348.4,677,547.999999800697,38.704,23.6296927412353,23.0013947171044,1.027
